top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 249 total,   2 em exec., 247 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,4 us,  0,0 sy,  0,0 ni, 97,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :   5920,9 total,    493,6 free,   1660,4 used,   4088,6 buff/cache     
MB swap:   4096,0 total,   4095,4 free,      0,6 used.   4260,6 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3390 aluno     20   0 4934048 386096 146108 S   0,0   6,4   3:38.43 gnome-s+
  54827 aluno     30  10  832216 209252 112124 S   0,0   3,5   0:04.29 update-+
   4501 aluno     20   0   21,9g 158752  64236 S   0,0   2,6   1:18.80 node
   4426 aluno     20   0   11,3g 148324  54744 S   0,0   2,4   0:39.75 node
   1599 root      20   0 2914308 119088  72856 S   0,0   2,0   0:44.24 dockerd
   4043 aluno     20   0 1412512 104504  78336 S   0,0   1,7   0:00.21 mutter-+
   3982 aluno     20   0  640704  85916  68252 S   0,0   1,4   0:00.25 gsd-xse+
   4489 aluno     20   0 1165428  83800  49396 S   0,0   1,4   1:28.59 node
   3834 aluno     20   0  245144  68860  55072 S   0,0   1,1   0:00.14 Xwayland
   3602 aluno     20   0  829168  65912  51820 S   0,0   1,1   0:00.44 evoluti+
   4512 aluno     20   0 1264080  62980  49256 S   0,0   1,0   0:14.02 node
   4193 aluno     20   0  702092  61860  48580 S   0,0   1,0   1:49.11 gnome-t+
   1445 root      20   0 2193288  56792  38196 S   0,0   0,9   0:42.60 contain+
  13429 root      20   0  548592  47732  40996 S   0,0   0,8   0:03.48 fwupd
   3515 aluno     20   0 1277124  44208  35968 S   0,0   0,7   0:00.23 evoluti+
  33336 root      20   0 2072488  43304  27128 S   0,0   0,7   0:07.01 snapd
   3994 aluno     20   0  841688  42588  32320 S   0,0   0,7   0:00.27 xdg-des+
   4686 aluno     20   0  567604  35200  27444 S   0,0   0,6   0:02.11 update-+
   4108 aluno     20   0  439892  34820  27200 S   0,0   0,6   0:00.76 snapd-d+
   3833 aluno     20   0  749612  31396  27256 S   0,0   0,5   0:00.22 evoluti+
   3739 aluno     20   0  419808  31316  19876 S   0,0   0,5   0:02.99 ibus-ex+
   3925 aluno     39  19  732340  30060  19056 S   0,0   0,5   0:00.55 tracker+
   3947 aluno     20   0 2660548  28104  22992 S   0,0   0,5   0:00.09 gjs
   3533 aluno     20   0 2652312  27904  23172 S   0,0   0,5   0:00.12 gjs
   4030 aluno     20   0  416136  27752  20736 S   0,0   0,5   0:00.16 xdg-des+
    272 root      19  -1   75440  27472  25860 S   0,0   0,5   0:02.72 systemd+
   3559 aluno     20   0  740004  27292  23428 S   0,0   0,5   0:00.14 gsd-med+
   1570 root      20   0   90452  26780  23524 S   0,0   0,4   0:00.31 smbd
   4028 aluno     20   0  265416  26260  19344 S   0,0   0,4   0:00.14 ibus-x11
   3570 aluno     20   0  595592  26056  21980 S   0,0   0,4   0:00.18 gsd-pow+
   3800 aluno     20   0  888668  25620  22108 S   0,0   0,4   0:00.20 evoluti+
   3733 aluno     20   0  544696  25480  21648 S   0,0   0,4   0:00.14 goa-dae+
   4359 aluno     20   0   47648  23948  17400 S   0,0   0,4   0:27.15 code-10+
   1434 root      20   0  109664  23572  14112 S   0,0   0,4   0:00.14 unatten+
   3578 aluno     20   0  484744  22268  18724 S   0,0   0,4   0:00.15 gsd-wac+
   3542 aluno     20   0  411336  22044  18948 S   0,0   0,4   0:00.38 gsd-col+
   1007 root      20   0  335860  21776  17416 S   0,0   0,4   6:25.88 Network+
   3551 aluno     20   0  410172  21304  18304 S   0,0   0,4   0:00.12 gsd-key+
   3359 aluno     20   0  666476  19848  17084 S   0,0   0,3   0:00.13 gnome-s+
   3206 aluno      9 -11  404748  19780  14692 S   0,0   0,3   0:00.18 wireplu+
   1539 root      20   0   78584  19120  16172 S   0,0   0,3   0:45.97 nmbd
   3507 aluno     20   0  654972  18376  15528 S   0,0   0,3   0:00.06 gnome-s+
   3250 aluno     20   0  295976  17212  15272 S   0,0   0,3   0:00.04 gnome-s+
    931 gnome-r+  20   0  512808  17044  14524 S   0,0   0,3   0:00.10 gnome-r+
   1474 colord    20   0  318452  16092  10820 S   0,0   0,3   0:01.29 colord
   3840 aluno     20   0  413824  15736  13692 S   0,0   0,3   0:00.02 gsd-pri+
   3985 aluno     20   0  699616  15600  12692 S   0,0   0,3   0:02.15 xdg-des+
   3203 aluno      9 -11  113268  15336   9172 S   0,0   0,3   0:00.18 pipewire
      1 root      20   0   23540  15152   9880 S   0,0   0,2   0:12.35 systemd
    958 root      20   0  469704  14648  11636 S   0,0   0,2   0:02.04 udisksd
   3207 aluno      9 -11  113520  13816   9928 S   0,0   0,2   0:00.06 pipewir+
  57545 root      20   0   36972  13708  10360 S   0,0   0,2   0:00.05 cupsd
   3575 aluno     20   0  541392  13672  10840 S   0,0   0,2   0:00.41 gsd-sha+
    485 systemd+  20   0   21576  13660  11372 S   0,0   0,2   0:04.77 systemd+
    938 polkitd   20   0  315248  13168   9252 S   0,0   0,2   0:02.83 polkitd
