top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3390 aluno     20   0 4818,4m 377,0m 142,7m S   0,0   6,4   3:38.43 gnome-s+
  54827 aluno     30  10  812,7m 204,3m 109,5m S   0,0   3,5   0:04.29 update-+
   4501 aluno     20   0   21,9g 155,0m  62,7m S   0,0   2,6   1:18.80 node
   4426 aluno     20   0   11,3g 144,8m  53,5m S   0,0   2,4   0:39.75 node
   1599 root      20   0 2846,0m 116,3m  71,1m S   0,0   2,0   0:44.24 dockerd
   4043 aluno     20   0 1379,4m 102,1m  76,5m S   0,0   1,7   0:00.21 mutter-+
   3982 aluno     20   0  625,7m  83,9m  66,7m S   0,0   1,4   0:00.25 gsd-xse+
   4489 aluno     20   0 1138,1m  81,8m  48,2m S   0,0   1,4   1:28.59 node
   3834 aluno     20   0  239,4m  67,2m  53,8m S   0,0   1,1   0:00.14 Xwayland
   3602 aluno     20   0  809,7m  64,4m  50,6m S   0,0   1,1   0:00.44 evoluti+
   4512 aluno     20   0 1234,5m  61,5m  48,1m S   0,0   1,0   0:14.02 node
   4193 aluno     20   0  685,6m  60,4m  47,4m S   0,0   1,0   1:49.11 gnome-t+
   1445 root      20   0 2141,9m  55,5m  37,3m S   0,0   0,9   0:42.60 contain+
  13429 root      20   0  535,7m  46,6m  40,0m S   0,0   0,8   0:03.48 fwupd
   3515 aluno     20   0 1247,2m  43,2m  35,1m S   0,0   0,7   0:00.23 evoluti+
  33336 root      20   0 2023,9m  42,3m  26,5m S   0,0   0,7   0:07.01 snapd
   3994 aluno     20   0  822,0m  41,6m  31,6m S   0,0   0,7   0:00.27 xdg-des+
   4686 aluno     20   0  554,3m  34,4m  26,8m S   0,0   0,6   0:02.11 update-+
   4108 aluno     20   0  429,6m  34,0m  26,6m S   0,0   0,6   0:00.76 snapd-d+
   3833 aluno     20   0  732,0m  30,7m  26,6m S   0,0   0,5   0:00.22 evoluti+
   3739 aluno     20   0  410,0m  30,6m  19,4m S   0,0   0,5   0:02.99 ibus-ex+
   3925 aluno     39  19  715,2m  29,4m  18,6m S   0,0   0,5   0:00.55 tracker+
   3947 aluno     20   0 2598,2m  27,4m  22,5m S   0,0   0,5   0:00.09 gjs
   3533 aluno     20   0 2590,1m  27,2m  22,6m S   0,0   0,5   0:00.12 gjs
   4030 aluno     20   0  406,4m  27,1m  20,2m S   0,0   0,5   0:00.16 xdg-des+
    272 root      19  -1   73,7m  26,8m  25,3m S   0,0   0,5   0:02.72 systemd+
   3559 aluno     20   0  722,7m  26,7m  22,9m S   0,0   0,5   0:00.14 gsd-med+
   1570 root      20   0   88,3m  26,2m  23,0m S   0,0   0,4   0:00.31 smbd
